ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Quercus robur,VCC,1,1,45.77,0.0002813,-,,-,-,-,-
Quercus robur,VCC,2,1,45.77,0.0002813,-,,-,-,-,-
Quercus robur,VCC,3,1,4.64,0.0002203,-,,-,-,-,-
Quercus robur,VCC,4,1,48.61,0.0001229,-,,-,-,-,-
Quercus robur,VCC,5,1,48.87,0.0002,-,,-,-,-,-
Quercus robur,VCC,6,1,48.87,0.002,-,,-,-,-,-
Quercus robur,VSC,1,7,-13.02,0.8173751,8.6e-06,,-,-,-,-
Quercus robur,VSC,2,7,-13.02,0.8173751,8.6e-06,,-,-,-,-
Quercus robur,VSC,3,7,-0.13,0.7208093,-0.0006619,,-,-,-,-
Quercus robur,VSC,4,7,-5.42,0.8097412,3.93e-05,,-,-,-,-
Quercus robur,VSC,5,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Quercus robur,VSC,6,7,-6.47,0.7939548,3.93e-05,,-,-,-,-
Quercus robur,IAVC,1,21,-,-,0.0002215,-1.7978e-07,-,-,-,-
Quercus robur,IAVC,2,21,-,-,0.0002215,-1.7978e-07,-,-,-,-
Quercus robur,IAVC,3,21,-,-,0.0002215,-1.7978e-07,-,-,-,-
Quercus robur,IAVC,4,21,-,-,0.0002215,-1.7978e-07,-,-,-,-
Quercus robur,IAVC,5,21,-,-,0.0002215,-1.7978e-07,-,-,-,-
Quercus robur,IAVC,6,21,-,-,0.0002215,-1.7978e-07,-,-,-,-
Quercus robur,VLE,1,12,-,-,-,,4.83e-05,2.35962,-,-
Quercus robur,VLE,2,12,-,-,-,,4.83e-05,2.35962,-,-
Quercus robur,VLE,3,12,-,-,-,,4.83e-05,2.35962,-,-
Quercus robur,VLE,4,12,-,-,-,,4.83e-05,2.35962,-,-
Quercus robur,VLE,5,12,-,-,-,,4.83e-05,2.35962,-,-
Quercus robur,VLE,6,12,-,-,-,,4.83e-05,2.35962,-,-
Quercus pyrenaica,VCC,2,1,44.14,0.0002657,-,,-,-,-,-
Quercus pyrenaica,VCC,3,1,15.14,0.00014,-,,-,-,-,-
Quercus pyrenaica,VCC,4,1,62.01,0.0001008,-,,-,-,-,-
Quercus pyrenaica,VCC,5,1,36.92,0.00021,-,,-,-,-,-
Quercus pyrenaica,VSC,2,7,-13.75,0.8099325,2.07e-05,,-,-,-,-
Quercus pyrenaica,VSC,3,7,-13.83,0.8420772,1.17e-05,,-,-,-,-
Quercus pyrenaica,VSC,4,7,-10.03,0.8341305,3.15e-05,,-,-,-,-
Quercus pyrenaica,VSC,5,7,-13.83,0.8420772,1.17e-05,,-,-,-,-
Quercus pyrenaica,IAVC,2,21,-,-,0.0001959,-2.1896e-07,-,-,-,-
Quercus pyrenaica,IAVC,3,21,-,-,0.0001959,-2.1896e-07,-,-,-,-
Quercus pyrenaica,IAVC,4,21,-,-,0.0001959,-2.1896e-07,-,-,-,-
Quercus pyrenaica,IAVC,5,21,-,-,0.0001959,-2.1896e-07,-,-,-,-
Quercus pyrenaica,VLE,2,12,-,-,-,,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,3,12,-,-,-,,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,4,12,-,-,-,,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,5,12,-,-,-,,9.44e-05,2.27236,-,-
Quercus suber,VCC,2,1,50.87,0.0002409,-,,-,-,-,-
Quercus suber,VCC,3,1,13.26,0.00028,-,,-,-,-,-
Quercus suber,VCC,4,1,43.93,0.0001313,-,,-,-,-,-
Quercus suber,VCC,5,1,100.97,0.000205,-,,-,-,-,-
Quercus suber,VSC,2,7,-20.31,0.7154855,2.45e-05,,-,-,-,-
Quercus suber,VSC,3,7,-43.36,0.8067657,6.4e-06,,-,-,-,-
Quercus suber,VSC,4,7,-14.37,0.7285726,5.85e-05,,-,-,-,-
Quercus suber,VSC,5,7,-43.36,0.8067657,6.4e-06,,-,-,-,-
Quercus suber,IAVC,2,21,-,-,0.0001959,-2.1896e-07,-,-,-,-
Quercus suber,IAVC,3,21,-,-,0.0001959,-2.1896e-07,-,-,-,-
Quercus suber,IAVC,4,21,-,-,0.0001959,-2.1896e-07,-,-,-,-
Quercus suber,IAVC,5,21,-,-,0.0001959,-2.1896e-07,-,-,-,-
Quercus suber,VLE,2,12,-,-,-,,1e-07,3.538,-,-
Quercus suber,VLE,3,12,-,-,-,,1e-07,3.538,-,-
Quercus suber,VLE,4,12,-,-,-,,1e-07,3.538,-,-
Quercus suber,VLE,5,12,-,-,-,,1e-07,3.538,-,-
Alnus glutinosa,VCC,2,1,8.12,0.0002742,-,,-,-,-,-
Alnus glutinosa,VCC,3,1,8.12,0.0002742,-,,-,-,-,-
Alnus glutinosa,VCC,5,1,8.12,0.0002742,-,,-,-,-,-
Alnus glutinosa,VSC,2,7,-2.29,0.9171828,4.5e-06,,-,-,-,-
Alnus glutinosa,VSC,3,7,-2.29,0.9171828,4.5e-06,,-,-,-,-
Alnus glutinosa,VSC,5,7,-2.29,0.9171828,4.5e-06,,-,-,-,-
Alnus glutinosa,IAVC,2,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Alnus glutinosa,IAVC,3,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Alnus glutinosa,IAVC,5,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Alnus glutinosa,VLE,2,12,-,-,-,,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,3,12,-,-,-,,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,5,12,-,-,-,,0.0009308,1.83129,-,-
Fraxinus angustifolia,VCC,2,1,37.56,0.0002307,-,,-,-,-,-
Fraxinus angustifolia,VCC,3,1,37.56,0.0002307,-,,-,-,-,-
Fraxinus angustifolia,VCC,4,1,37.56,0.0002307,-,,-,-,-,-
Fraxinus angustifolia,VCC,5,1,37.56,0.0002307,-,,-,-,-,-
Fraxinus angustifolia,VSC,2,7,-13.02,0.8173751,8.6e-06,,-,-,-,-
Fraxinus angustifolia,VSC,3,7,-13.02,0.8173751,8.6e-06,,-,-,-,-
Fraxinus angustifolia,VSC,4,7,-13.02,0.8173751,8.6e-06,,-,-,-,-
Fraxinus angustifolia,VSC,5,7,-13.02,0.8173751,8.6e-06,,-,-,-,-
Fraxinus angustifolia,IAVC,2,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Fraxinus angustifolia,IAVC,3,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Fraxinus angustifolia,IAVC,4,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Fraxinus angustifolia,IAVC,5,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Fraxinus angustifolia,VLE,2,12,-,-,-,,2.71e-05,2.51797,-,-
Fraxinus angustifolia,VLE,3,12,-,-,-,,2.71e-05,2.51797,-,-
Fraxinus angustifolia,VLE,4,12,-,-,-,,2.71e-05,2.51797,-,-
Fraxinus angustifolia,VLE,5,12,-,-,-,,2.71e-05,2.51797,-,-
Salix spp.,VCC,2,1,13.04,0.0002678,-,,-,-,-,-
Salix spp.,VCC,3,1,13.04,0.0002678,-,,-,-,-,-
Salix spp.,VCC,4,1,13.04,0.0002678,-,,-,-,-,-
Salix spp.,VCC,5,1,13.04,0.0002678,-,,-,-,-,-
Salix spp.,VSC,2,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Salix spp.,VSC,3,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Salix spp.,VSC,4,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Salix spp.,VSC,5,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Salix spp.,IAVC,2,21,-,-,0.0002442,-2.0509e-07,-,-,-,-
Salix spp.,IAVC,3,21,-,-,0.0002442,-2.0509e-07,-,-,-,-
Salix spp.,IAVC,4,21,-,-,0.0002442,-2.0509e-07,-,-,-,-
Salix spp.,IAVC,5,21,-,-,0.0002442,-2.0509e-07,-,-,-,-
Salix spp.,VLE,2,12,-,-,-,,0.0016601,1.7736,-,-
Salix spp.,VLE,3,12,-,-,-,,0.0016601,1.7736,-,-
Salix spp.,VLE,4,12,-,-,-,,0.0016601,1.7736,-,-
Salix spp.,VLE,5,12,-,-,-,,0.0016601,1.7736,-,-
Populus nigra,VCC,2,1,56.04,0.0002424,-,,-,-,-,-
Populus nigra,VCC,3,1,0.68,0.0002336,-,,-,-,-,-
Populus nigra,VCC,5,1,59.08,0.0001293,-,,-,-,-,-
Populus nigra,VSC,2,7,0.26,0.8236223,2.33e-05,,-,-,-,-
Populus nigra,VSC,3,7,0.26,0.8236223,2.33e-05,,-,-,-,-
Populus nigra,VSC,5,7,0.26,0.8236223,2.33e-05,,-,-,-,-
Populus nigra,IAVC,2,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Populus nigra,IAVC,3,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Populus nigra,IAVC,5,21,-,-,0.0002772,-2.7425e-07,-,-,-,-
Populus nigra,VLE,2,12,-,-,-,,0.0001247,2.16723,-,-
Populus nigra,VLE,3,12,-,-,-,,0.0001247,2.16723,-,-
Populus nigra,VLE,5,12,-,-,-,,0.0001247,2.16723,-,-
Eucalyptus globulus,VCC,1,1,39.2,0.0002521,-,,-,-,-,-
Eucalyptus globulus,VCC,2,1,39.2,0.0002521,-,,-,-,-,-
Eucalyptus globulus,VCC,3,1,-1.74,0.000225,-,,-,-,-,-
Eucalyptus globulus,VCC,5,1,21.5,0.000112,-,,-,-,-,-
Eucalyptus globulus,VSC,1,7,-1.94,0.8117836,6.4e-06,,-,-,-,-
Eucalyptus globulus,VSC,2,7,-1.94,0.8117836,6.4e-06,,-,-,-,-
Eucalyptus globulus,VSC,3,7,-0.43,0.8172999,0.0010656,,-,-,-,-
Eucalyptus globulus,VSC,5,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Eucalyptus globulus,IAVC,1,21,-,-,0.000767,-5.5394e-07,-,-,-,-
Eucalyptus globulus,IAVC,2,21,-,-,0.000767,-5.5394e-07,-,-,-,-
Eucalyptus globulus,IAVC,3,21,-,-,0.000767,-5.5394e-07,-,-,-,-
Eucalyptus globulus,IAVC,5,21,-,-,0.000767,-5.5394e-07,-,-,-,-
Eucalyptus globulus,VLE,1,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,2,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,3,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,5,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus camaldulensis,VCC,1,1,44.68,0.000218,-,,-,-,-,-
Eucalyptus camaldulensis,VCC,2,1,44.68,0.000218,-,,-,-,-,-
Eucalyptus camaldulensis,VCC,3,1,44.68,0.000218,-,,-,-,-,-
Eucalyptus camaldulensis,VCC,5,1,42.09,0.000151,-,,-,-,-,-
Eucalyptus camaldulensis,VSC,1,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Eucalyptus camaldulensis,VSC,2,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Eucalyptus camaldulensis,VSC,3,7,-1.72,0.811565,6.5e-06,,-,-,-,-
