ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Quercus suber,VSC,1,7,-20.31,0.7154855,2.45e-05,-,-,-,-,
Quercus suber,VSC,2,7,-20.31,0.7154855,2.45e-05,-,-,-,-,
Quercus suber,VSC,3,7,-43.36,0.8067657,6.4e-06,-,-,-,-,
Quercus suber,VSC,4,7,-14.37,0.7285726,5.85e-05,-,-,-,-,
Quercus suber,VSC,5,7,-43.36,0.8067657,6.4e-06,-,-,-,-,
Quercus suber,IAVC,1,14,-,-,-,-,0.0004941,1.64701,-,-
Quercus suber,IAVC,2,14,-,-,-,-,0.0004941,1.64701,-,-
Quercus suber,IAVC,3,14,-,-,-,-,0.0004941,1.64701,-,-
Quercus suber,IAVC,4,14,-,-,-,-,0.0004941,1.64701,-,-
Quercus suber,IAVC,5,14,-,-,-,-,0.0004941,1.64701,-,-
Quercus suber,VLE,1,12,-,-,-,,1e-07,3.538,-,-
Quercus suber,VLE,2,12,-,-,-,,1e-07,3.538,-,-
Quercus suber,VLE,3,12,-,-,-,,1e-07,3.538,-,-
Quercus suber,VLE,4,12,-,-,-,,1e-07,3.538,-,-
Quercus suber,VLE,5,12,-,-,-,,1e-07,3.538,-,-
Alnus glutinosa,VCC,2,1,6.9,0.0003117,-,-,-,-,-,
Alnus glutinosa,VCC,3,1,6.9,0.0003117,-,-,-,-,-,
Alnus glutinosa,VCC,4,1,6.9,0.0003117,-,-,-,-,-,
Alnus glutinosa,VCC,5,1,6.9,0.0003117,-,-,-,-,-,
Alnus glutinosa,VSC,2,7,-2.29,0.9171828,4.5e-06,-,-,-,-,
Alnus glutinosa,VSC,3,7,-2.29,0.9171828,4.5e-06,-,-,-,-,
Alnus glutinosa,VSC,4,7,-2.29,0.9171828,4.5e-06,-,-,-,-,
Alnus glutinosa,VSC,5,7,-2.29,0.9171828,4.5e-06,-,-,-,-,
Alnus glutinosa,IAVC,2,21,-,-,0.0004448,-8.341e-07,-,-,-,-
Alnus glutinosa,IAVC,3,21,-,-,0.0004448,-8.341e-07,-,-,-,-
Alnus glutinosa,IAVC,4,21,-,-,0.0004448,-8.341e-07,-,-,-,-
Alnus glutinosa,IAVC,5,21,-,-,0.0004448,-8.341e-07,-,-,-,-
Alnus glutinosa,VLE,2,12,-,-,-,,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,3,12,-,-,-,,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,4,12,-,-,-,,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,5,12,-,-,-,,0.0009308,1.83129,-,-
Salix spp.,VCC,2,1,109.53,0.0001481,-,-,-,-,-,
Salix spp.,VCC,3,1,109.53,0.0001481,-,-,-,-,-,
Salix spp.,VCC,4,1,109.53,0.0001481,-,-,-,-,-,
Salix spp.,VCC,5,1,109.53,0.0001481,-,-,-,-,-,
Salix spp.,VSC,2,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix spp.,VSC,3,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix spp.,VSC,4,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix spp.,VSC,5,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix spp.,IAVC,2,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix spp.,IAVC,3,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix spp.,IAVC,4,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix spp.,IAVC,5,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix spp.,VLE,2,12,-,-,-,,0.0016601,1.7736,-,-
Salix spp.,VLE,3,12,-,-,-,,0.0016601,1.7736,-,-
Salix spp.,VLE,4,12,-,-,-,,0.0016601,1.7736,-,-
Salix spp.,VLE,5,12,-,-,-,,0.0016601,1.7736,-,-
Eucalyptus globulus,VCC,1,1,18.65,0.0002641,-,-,-,-,-,
Eucalyptus globulus,VCC,2,1,18.65,0.0002641,-,-,-,-,-,
Eucalyptus globulus,VCC,3,1,-1.02,0.0002111,-,-,-,-,-,
Eucalyptus globulus,VCC,4,1,-1.02,0.0002111,-,-,-,-,-,
Eucalyptus globulus,VCC,5,1,21.50442,0.000112,-,-,-,-,-,
Eucalyptus globulus,VCC,6,1,21.50442,0.000112,-,-,-,-,-,
Eucalyptus globulus,VSC,1,7,-3.43,0.8106233,7.9e-06,-,-,-,-,
Eucalyptus globulus,VSC,2,7,-3.43,0.8106233,7.9e-06,-,-,-,-,
Eucalyptus globulus,VSC,3,7,0.05,0.7677083,0.0016267,-,-,-,-,
Eucalyptus globulus,VSC,4,7,0.05,0.7677083,0.0016267,-,-,-,-,
Eucalyptus globulus,VSC,5,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Eucalyptus globulus,VSC,6,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Eucalyptus globulus,IAVC,1,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus globulus,IAVC,2,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus globulus,IAVC,3,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus globulus,IAVC,4,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus globulus,IAVC,5,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus globulus,IAVC,6,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus globulus,VLE,1,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,2,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,3,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,4,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,5,12,-,-,-,,0.0017465,1.73173,-,-
