ESPECIE,Parámetro,FORMA DE CUBICACIÓN,Model,A,B,C,D,P,Q,R,DNM
Pinus radiata,VSC,2,7,-6.92,0.8071767,1.34e-05,-,-,-,-,-
Pinus radiata,VSC,3,7,0.37,0.7494878,0.0001775,-,-,-,-,-
Pinus radiata,VSC,5,7,-17.54,0.8526272,-5.75e-05,-,-,-,-,-
Pinus radiata,IAVC,2,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Pinus radiata,IAVC,3,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Pinus radiata,IAVC,5,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Pinus radiata,VLE,2,12,-,-,-,-,0.0014136,1.73113,-,-
Pinus radiata,VLE,3,12,-,-,-,-,0.0014136,1.73113,-,-
Pinus radiata,VLE,5,12,-,-,-,-,0.0014136,1.73113,-,-
Pseudotsuga menziesii,VCC,2,1,-3.31,0.00033,-,-,-,-,-,-
Pseudotsuga menziesii,VCC,3,1,-3.31,0.00033,-,-,-,-,-,-
Pseudotsuga menziesii,VSC,2,7,-11.79,0.8250681,9.7e-06,-,-,-,-,-
Pseudotsuga menziesii,VSC,3,7,-11.79,0.8250681,9.7e-06,-,-,-,-,-
Pseudotsuga menziesii,IAVC,2,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Pseudotsuga menziesii,IAVC,3,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Pseudotsuga menziesii,VLE,2,12,-,-,-,-,0.0014136,1.73113,-,-
Pseudotsuga menziesii,VLE,3,12,-,-,-,-,0.0014136,1.73113,-,-
Cupressus sempervirens,VCC,2,1,0.73,0.0003435,-,-,-,-,-,-
Cupressus sempervirens,VSC,2,7,-15.69,0.7459322,1.67e-05,-,-,-,-,-
Cupressus sempervirens,IAVC,2,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Cupressus sempervirens,VLE,2,12,-,-,-,-,8e-07,3.04558,-,-
Quercus robur,VCC,1,1,29.27,0.0002851,-,-,-,-,-,-
Quercus robur,VCC,2,1,29.27,0.0002851,-,-,-,-,-,-
Quercus robur,VCC,3,1,4.64,0.0002203,-,-,-,-,-,-
Quercus robur,VCC,4,1,75.92,9.86e-05,-,-,-,-,-,-
Quercus robur,VCC,5,1,48.86945,0.0002,-,-,-,-,-,-
Quercus robur,VCC,6,1,48.86945,0.0002,-,-,-,-,-,-
Quercus robur,VSC,1,7,-9.55,0.798818,1.06e-05,-,-,-,-,-
Quercus robur,VSC,2,7,-9.55,0.798818,1.06e-05,-,-,-,-,-
Quercus robur,VSC,3,7,-0.13,0.7208093,-0.0006619,-,-,-,-,-
Quercus robur,VSC,4,7,-1.66,0.7576364,8.75e-05,-,-,-,-,-
Quercus robur,VSC,5,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Quercus robur,VSC,6,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Quercus robur,IAVC,1,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus robur,IAVC,2,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus robur,IAVC,3,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus robur,IAVC,4,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus robur,IAVC,5,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus robur,IAVC,6,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus robur,VLE,1,12,-,-,-,-,4.83e-05,2.35962,-,-
Quercus robur,VLE,2,12,-,-,-,-,4.83e-05,2.35962,-,-
Quercus robur,VLE,3,12,-,-,-,-,4.83e-05,2.35962,-,-
Quercus robur,VLE,4,12,-,-,-,-,4.83e-05,2.35962,-,-
Quercus robur,VLE,5,12,-,-,-,-,4.83e-05,2.35962,-,-
Quercus robur,VLE,6,12,-,-,-,-,4.83e-05,2.35962,-,-
Quercus pyrenaica,VCC,2,1,29.27,0.0002851,-,-,-,-,-,-
Quercus pyrenaica,VCC,3,1,4.64,0.0002203,-,-,-,-,-,-
Quercus pyrenaica,VCC,4,1,75.92,9.86e-05,-,-,-,-,-,-
Quercus pyrenaica,VCC,5,1,48.86945,0.0002,-,-,-,-,-,-
Quercus pyrenaica,VCC,6,1,48.86945,0.0002,-,-,-,-,-,-
Quercus pyrenaica,VSC,2,7,-9.55,0.798818,1.06e-05,-,-,-,-,-
Quercus pyrenaica,VSC,3,7,-0.13,0.7208093,-0.0006619,-,-,-,-,-
Quercus pyrenaica,VSC,4,7,-1.66,0.7576364,8.75e-05,-,-,-,-,-
Quercus pyrenaica,VSC,5,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Quercus pyrenaica,VSC,6,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Quercus pyrenaica,IAVC,2,21,-,-,0.0001816,-1.816e-07,-,-,-,-
Quercus pyrenaica,IAVC,3,21,-,-,0.0001816,-1.816e-07,-,-,-,-
Quercus pyrenaica,IAVC,4,21,-,-,0.0001816,-1.816e-07,-,-,-,-
Quercus pyrenaica,IAVC,5,21,-,-,0.0001816,-1.816e-07,-,-,-,-
Quercus pyrenaica,IAVC,6,21,-,-,0.0001816,-1.816e-07,-,-,-,-
Quercus pyrenaica,VLE,2,12,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,3,12,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,4,12,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,5,12,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,6,12,-,-,-,-,9.44e-05,2.27236,-,-
Quercus ilex subsp. ballota,VCC,2,1,49.2593,0.000261,-,-,-,-,-,-
Quercus ilex subsp. ballota,VCC,3,1,13.07923,0.000271,-,-,-,-,-,-
Quercus ilex subsp. ballota,VCC,4,1,38.70038,0.000195,-,-,-,-,-,-
Quercus ilex subsp. ballota,VCC,5,1,26.43688,0.00023,-,-,-,-,-,-
Quercus ilex subsp. ballota,VSC,2,7,-4.31,0.766902,0.0001317,-,-,-,-,-
Quercus ilex subsp. ballota,VSC,3,7,-4.31,0.766902,0.0001317,-,-,-,-,-
Quercus ilex subsp. ballota,VSC,4,7,-4.31,0.766902,0.0001317,-,-,-,-,-
Quercus ilex subsp. ballota,VSC,5,7,-4.31,0.766902,0.0001317,-,-,-,-,-
Quercus ilex subsp. ballota,IAVC,2,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus ilex subsp. ballota,IAVC,3,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus ilex subsp. ballota,IAVC,4,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus ilex subsp. ballota,IAVC,5,21,-,-,0.0002541,-2.3405e-07,-,-,-,-
Quercus ilex subsp. ballota,VLE,2,12,-,-,-,-,3.19e-05,2.56596,-,-
Quercus ilex subsp. ballota,VLE,3,12,-,-,-,-,3.19e-05,2.56596,-,-
Quercus ilex subsp. ballota,VLE,4,12,-,-,-,-,3.19e-05,2.56596,-,-
Quercus ilex subsp. ballota,VLE,5,12,-,-,-,-,3.19e-05,2.56596,-,-
Quercus suber,VCC,2,1,50.87,0.0002409,-,-,-,-,-,-
Quercus suber,VCC,3,1,13.26,0.00028,-,-,-,-,-,-
Quercus suber,VCC,4,1,32.85,0.0001374,-,-,-,-,-,-
Quercus suber,VCC,5,1,100.96662,0.000205,-,-,-,-,-,-
Quercus suber,VSC,2,7,-20.31,0.7154855,2.45e-05,-,-,-,-,-
Quercus suber,VSC,3,7,-20.31,0.7154855,2.45e-05,-,-,-,-,-
Quercus suber,VSC,4,7,-7.33,0.6365212,0.0001769,-,-,-,-,-
Quercus suber,VSC,5,7,-43.36,0.8067657,6.4e-06,-,-,-,-,-
Quercus suber,IAVC,2,21,-,-,8.1e-05,-2.957e-08,-,-,-,-
Quercus suber,IAVC,3,21,-,-,8.1e-05,-2.957e-08,-,-,-,-
Quercus suber,IAVC,4,21,-,-,8.1e-05,-2.957e-08,-,-,-,-
Quercus suber,IAVC,5,21,-,-,8.1e-05,-2.957e-08,-,-,-,-
Quercus suber,VLE,2,12,-,-,-,-,1e-07,3.538,-,-
Quercus suber,VLE,3,12,-,-,-,-,1e-07,3.538,-,-
Quercus suber,VLE,4,12,-,-,-,-,1e-07,3.538,-,-
Quercus suber,VLE,5,12,-,-,-,-,1e-07,3.538,-,-
Populus tremula,VCC,2,1,56.04,0.0002424,-,-,-,-,-,-
Populus tremula,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus tremula,IAVC,2,21,-,-,0.0003022,-2.7757e-07,-,-,-,-
Populus tremula,VLE,2,12,-,-,-,-,0.0001247,2.16723,-,-
Alnus glutinosa,VCC,2,1,4.75,0.0002916,-,-,-,-,-,-
Alnus glutinosa,VCC,3,1,4.75,0.0002916,-,-,-,-,-,-
Alnus glutinosa,VCC,5,1,4.75,0.0002916,-,-,-,-,-,-
Alnus glutinosa,VSC,2,7,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Alnus glutinosa,VSC,3,7,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Alnus glutinosa,VSC,5,7,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Alnus glutinosa,IAVC,2,21,-,-,0.0003022,-2.7757e-07,-,-,-,-
Alnus glutinosa,IAVC,3,21,-,-,0.0003022,-2.7757e-07,-,-,-,-
Alnus glutinosa,IAVC,5,21,-,-,0.0003022,-2.7757e-07,-,-,-,-
Alnus glutinosa,VLE,2,12,-,-,-,-,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,3,12,-,-,-,-,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,5,12,-,-,-,-,0.0009308,1.83129,-,-
Salix spp.,VCC,2,1,109.53,0.0001481,-,-,-,-,-,-
Salix spp.,VCC,3,1,109.53,0.0001481,-,-,-,-,-,-
Salix spp.,VCC,4,1,109.53,0.0001481,-,-,-,-,-,-
Salix spp.,VCC,5,1,109.53,0.0001481,-,-,-,-,-,-
Salix spp.,VSC,2,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix spp.,VSC,3,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix spp.,VSC,4,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix spp.,VSC,5,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix spp.,IAVC,2,16,0.50416,0.0001005,-,-,-,-,-,-
Salix spp.,IAVC,3,16,0.50416,0.0001005,-,-,-,-,-,-
Salix spp.,IAVC,4,16,0.50416,0.0001005,-,-,-,-,-,-
Salix spp.,IAVC,5,16,0.50416,0.0001005,-,-,-,-,-,-
Salix spp.,VLE,2,12,-,-,-,-,0.0016601,1.7736,-,-
Salix spp.,VLE,3,12,-,-,-,-,0.0016601,1.7736,-,-
Salix spp.,VLE,4,12,-,-,-,-,0.0016601,1.7736,-,-
Salix spp.,VLE,5,12,-,-,-,-,0.0016601,1.7736,-,-
Salix atrocinerea,VCC,2,1,109.53,0.0001481,-,-,-,-,-,-
Salix atrocinerea,VCC,3,1,109.53,0.0001481,-,-,-,-,-,-
Salix atrocinerea,VCC,4,1,109.53,0.0001481,-,-,-,-,-,-
Salix atrocinerea,VCC,5,1,109.53,0.0001481,-,-,-,-,-,-
Salix atrocinerea,VSC,2,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix atrocinerea,VSC,3,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix atrocinerea,VSC,4,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix atrocinerea,VSC,5,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix atrocinerea,IAVC,2,16,0.50416,0.0001005,-,-,-,-,-,-
Salix atrocinerea,IAVC,3,16,0.50416,0.0001005,-,-,-,-,-,-
Salix atrocinerea,IAVC,4,16,0.50416,0.0001005,-,-,-,-,-,-
Salix atrocinerea,IAVC,5,16,0.50416,0.0001005,-,-,-,-,-,-
Salix atrocinerea,VLE,2,12,-,-,-,-,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,3,12,-,-,-,-,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,4,12,-,-,-,-,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,5,12,-,-,-,-,0.0016601,1.7736,-,-
Salix caprea,VCC,2,1,109.53,0.0001481,-,-,-,-,-,-
Salix caprea,VCC,3,1,109.53,0.0001481,-,-,-,-,-,-
Salix caprea,VCC,4,1,109.53,0.0001481,-,-,-,-,-,-
Salix caprea,VCC,5,1,109.53,0.0001481,-,-,-,-,-,-
Salix caprea,VSC,2,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix caprea,VSC,3,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix caprea,VSC,4,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix caprea,VSC,5,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix caprea,IAVC,2,16,0.50416,0.0001005,-,-,-,-,-,-
