ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Pinus radiata,VSC,3,7,-1.71,0.785063,2.27e-05,-,-,-,-,-
Pinus radiata,VSC,5,7,-1.71,0.785063,2.27e-05,-,-,-,-,-
Pinus radiata,IAVC,2,19,104.95956,-1.0952184,0.0037244,-3.30167e-06,-,-,-,-
Pinus radiata,IAVC,3,19,104.95956,-1.0952184,0.0037244,-3.30167e-06,-,-,-,-
Pinus radiata,IAVC,5,19,104.95956,-1.0952184,0.0037244,-3.30167e-06,-,-,-,-
Pinus radiata,VLE,2,12,-,-,-,0.0014136,1.73113,-,-,-
Pinus radiata,VLE,3,12,-,-,-,0.0014136,1.73113,-,-,-
Pinus radiata,VLE,5,12,-,-,-,0.0014136,1.73113,-,-,-
Abies alba,VCC,1,1,231.8,0.00027,-,-,-,-,-,-
Abies alba,VCC,2,1,231.8,0.00027,-,-,-,-,-,-
Abies alba,VCC,3,1,42.75,0.0003403,-,-,-,-,-,-
Abies alba,VCC,5,1,42.75,0.0003403,-,-,-,-,-,-
Abies alba,VSC,1,7,-2.01,0.753077,4.21e-05,-,-,-,-,-
Abies alba,VSC,2,7,-2.01,0.753077,4.21e-05,-,-,-,-,-
Abies alba,VSC,3,7,-2.01,0.753077,4.21e-05,-,-,-,-,-
Abies alba,VSC,5,7,-2.01,0.753077,4.21e-05,-,-,-,-,-
Abies alba,IAVC,1,19,28.15641,-0.3160742,0.0011208,-7.8832e-07,-,-,-,-
Abies alba,IAVC,2,19,28.15641,-0.3160742,0.0011208,-7.8832e-07,-,-,-,-
Abies alba,IAVC,3,19,28.15641,-0.3160742,0.0011208,-7.8832e-07,-,-,-,-
Abies alba,IAVC,5,19,28.15641,-0.3160742,0.0011208,-7.8832e-07,-,-,-,-
Abies alba,VLE,1,12,-,-,-,0.0014136,1.73113,-,-,-
Abies alba,VLE,2,12,-,-,-,0.0014136,1.73113,-,-,-
Abies alba,VLE,3,12,-,-,-,0.0014136,1.73113,-,-,-
Abies alba,VLE,5,12,-,-,-,0.0014136,1.73113,-,-,-
Larix spp.,VCC,1,1,14.02,0.0003055,-,-,-,-,-,-
Larix spp.,VCC,2,1,14.02,0.0003055,-,-,-,-,-,-
Larix spp.,VCC,3,1,1.85,0.0002487,-,-,-,-,-,-
Larix spp.,VCC,5,1,-3.31,0.00033,-,-,-,-,-,-
Larix spp.,VSC,1,7,-11.22,0.8890383,-3.24e-05,-,-,-,-,-
Larix spp.,VSC,2,7,-11.22,0.8890383,-3.24e-05,-,-,-,-,-
Larix spp.,VSC,3,7,-11.22,0.8890383,-3.24e-05,-,-,-,-,-
Larix spp.,VSC,5,7,-11.22,0.8890383,-3.24e-05,-,-,-,-,-
Larix spp.,IAVC,1,17,9.51251,-0.1101524,0.0004962,-,-,-,-,-
Larix spp.,IAVC,2,17,9.51251,-0.1101524,0.0004962,-,-,-,-,-
Larix spp.,IAVC,3,17,9.51251,-0.1101524,0.0004962,-,-,-,-,-
Larix spp.,IAVC,5,17,9.51251,-0.1101524,0.0004962,-,-,-,-,-
Larix spp.,VLE,1,12,-,-,-,0.0014136,1.73113,-,-,-
Larix spp.,VLE,2,12,-,-,-,0.0014136,1.73113,-,-,-
Larix spp.,VLE,3,12,-,-,-,0.0014136,1.73113,-,-,-
Larix spp.,VLE,5,12,-,-,-,0.0014136,1.73113,-,-,-
Juniperus oxycedrus,VCC,2,1,20.57,0.0002687,-,-,-,-,-,-
Juniperus oxycedrus,VCC,3,1,20.57,0.0002687,-,-,-,-,-,-
Juniperus oxycedrus,VCC,5,1,20.57,0.0002687,-,-,-,-,-,-
Juniperus oxycedrus,VSC,2,7,-7.44,0.8944181,-9.3e-06,-,-,-,-,-
Juniperus oxycedrus,VSC,3,7,-7.44,0.8944181,-9.3e-06,-,-,-,-,-
Juniperus oxycedrus,VSC,5,7,-7.44,0.8944181,-9.3e-06,-,-,-,-,-
Juniperus oxycedrus,IAVC,2,21,-,-,9.51e-05,-9.947e-08,-,-,-,-
Juniperus oxycedrus,IAVC,3,21,-,-,9.51e-05,-9.947e-08,-,-,-,-
Juniperus oxycedrus,IAVC,5,21,-,-,9.51e-05,-9.947e-08,-,-,-,-
Juniperus oxycedrus,VLE,2,12,-,-,-,7.3e-05,2.28991,-,-,-
Juniperus oxycedrus,VLE,3,12,-,-,-,7.3e-05,2.28991,-,-,-
Juniperus oxycedrus,VLE,5,12,-,-,-,7.3e-05,2.28991,-,-,-
Quercus robur,VCC,1,1,99.6,0.0002498,-,-,-,-,-,-
Quercus robur,VCC,2,1,99.6,0.0002498,-,-,-,-,-,-
Quercus robur,VCC,3,1,17.78,9.9e-05,-,-,-,-,-,-
Quercus robur,VCC,4,1,197.96,6.97e-05,-,-,-,-,-,-
Quercus robur,VCC,5,1,48.87,0.0002,-,-,-,-,-,-
Quercus robur,VCC,6,1,48.87,0.0002,-,-,-,-,-,-
Quercus robur,VSC,1,7,-21.38,0.8529831,6.4e-06,-,-,-,-,-
Quercus robur,VSC,2,7,-21.38,0.8529831,6.4e-06,-,-,-,-,-
Quercus robur,VSC,3,7,-25.81,0.8982118,4.6e-06,-,-,-,-,-
Quercus robur,VSC,4,7,-12.65,0.8663511,2.85e-05,-,-,-,-,-
Quercus robur,VSC,5,7,-25.81,0.8982118,4.6e-06,-,-,-,-,-
Quercus robur,VSC,6,7,-25.81,0.8982118,4.6e-06,-,-,-,-,-
Quercus robur,IAVC,1,21,-,-,0.0001394,-9.013e-08,-,-,-,-
Quercus robur,IAVC,2,21,-,-,0.0001394,-9.013e-08,-,-,-,-
Quercus robur,IAVC,3,21,-,-,0.0001394,-9.013e-08,-,-,-,-
Quercus robur,IAVC,4,21,-,-,0.0001394,-9.013e-08,-,-,-,-
Quercus robur,IAVC,5,21,-,-,0.0001394,-9.013e-08,-,-,-,-
Quercus robur,IAVC,6,21,-,-,0.0001394,-9.013e-08,-,-,-,-
Quercus robur,VLE,1,12,-,-,-,4.83e-05,2.35962,-,-,-
Quercus robur,VLE,2,12,-,-,-,4.83e-05,2.35962,-,-,-
Quercus robur,VLE,3,12,-,-,-,4.83e-05,2.35962,-,-,-
Quercus robur,VLE,4,12,-,-,-,4.83e-05,2.35962,-,-,-
Quercus robur,VLE,5,12,-,-,-,4.83e-05,2.35962,-,-,-
Quercus robur,VLE,6,12,-,-,-,4.83e-05,2.35962,-,-,-
Quercus petraea,VCC,1,1,80.6,0.0002579,-,-,-,-,-,-
Quercus petraea,VCC,2,1,80.6,0.0002579,-,-,-,-,-,-
Quercus petraea,VCC,3,1,-0.44,0.0002958,-,-,-,-,-,-
Quercus petraea,VCC,4,1,56.84,0.0001255,-,-,-,-,-,-
Quercus petraea,VCC,5,1,24.29,0.0002041,-,-,-,-,-,-
Quercus petraea,VSC,1,7,-18.21,0.8654326,4.8e-06,-,-,-,-,-
