ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Quercus pyrenaica,VCC,2.0,1.0,35.81,0.0002706,-,-,-,-,-,-
Quercus pyrenaica,VCC,3.0,1.0,15.14,0.00014,-,-,-,-,-,-
Quercus pyrenaica,VCC,4.0,1.0,77.39,9.73e-05,-,-,-,-,-,-
Quercus pyrenaica,VCC,5.0,1.0,36.92,0.00021,-,-,-,-,-,-
Quercus pyrenaica,VCC,6.0,1.0,36.92,0.00021,-,-,-,-,-,-
Quercus pyrenaica,VSC,1.0,7.0,-17.01,0.8383823,7.4e-06,-,-,-,-,-
Quercus pyrenaica,VSC,2.0,7.0,-17.01,0.8383823,7.4e-06,-,-,-,-,-
Quercus pyrenaica,VSC,3.0,7.0,-17.01,0.8383823,7.4e-06,-,-,-,-,-
Quercus pyrenaica,VSC,4.0,7.0,-10.71,0.8478133,1.74e-05,-,-,-,-,-
Quercus pyrenaica,VSC,5.0,7.0,-11.85,0.8197191,3.9e-05,-,-,-,-,-
Quercus pyrenaica,VSC,6.0,7.0,-11.85,0.8197191,3.9e-05,-,-,-,-,-
Quercus pyrenaica,IAVC,1.0,21.0,-,-,0.0001611,-8.105e-08,-,-,-,-
Quercus pyrenaica,IAVC,2.0,21.0,-,-,0.0001611,-8.105e-08,-,-,-,-
Quercus pyrenaica,IAVC,3.0,21.0,-,-,0.0001611,-8.105e-08,-,-,-,-
Quercus pyrenaica,IAVC,4.0,21.0,-,-,0.0001611,-8.105e-08,-,-,-,-
Quercus pyrenaica,IAVC,5.0,21.0,-,-,0.0001611,-8.105e-08,-,-,-,-
Quercus pyrenaica,IAVC,6.0,21.0,-,-,0.0001611,-8.105e-08,-,-,-,-
Quercus pyrenaica,VLE,1.0,12.0,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,2.0,12.0,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,3.0,12.0,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,4.0,12.0,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,5.0,12.0,-,-,-,-,9.44e-05,2.27236,-,-
Quercus pyrenaica,VLE,6.0,12.0,-,-,-,-,9.44e-05,2.27236,-,-
Quercus ilex subsp. ballota,VCC,2.0,1.0,49.26,0.000261,-,-,-,-,-,-
Quercus ilex subsp. ballota,VCC,4.0,1.0,38.7,0.000195,-,-,-,-,-,-
Quercus ilex subsp. ballota,VCC,5.0,1.0,26.44,0.00023,-,-,-,-,-,-
Quercus ilex subsp. ballota,VSC,2.0,7.0,-17.01,0.8383823,7.4e-06,-,-,-,-,-
Quercus ilex subsp. ballota,VSC,4.0,7.0,-10.71,0.8478133,1.74e-05,-,-,-,-,-
Quercus ilex subsp. ballota,VSC,5.0,7.0,-11.85,0.8197191,3.9e-05,-,-,-,-,-
Quercus ilex subsp. ballota,IAVC,2.0,21.0,-,-,0.0001177,-1.3542e-07,-,-,-,-
Quercus ilex subsp. ballota,IAVC,4.0,21.0,-,-,0.0001177,-1.3542e-07,-,-,-,-
Quercus ilex subsp. ballota,IAVC,5.0,21.0,-,-,0.0001177,-1.3542e-07,-,-,-,-
Quercus ilex subsp. ballota,VLE,2.0,12.0,-,-,-,-,3.19e-05,2.56596,-,-
Quercus ilex subsp. ballota,VLE,4.0,12.0,-,-,-,-,3.19e-05,2.56596,-,-
